pca,whiten,mcs,ms,method,n_clusters,noise_pct,ARI_core,ARI_reassign,NMI,top1,k5
128,0,10,3,eom,4,26.33,0.3516,0.2504,0.3432,0.938,0.9149
128,0,10,5,eom,3,31.87,0.3706,0.2526,0.3456,0.938,0.9149
128,0,10,10,eom,3,34.53,0.3695,0.2495,0.3407,0.938,0.9149
128,0,10,15,eom,2,26.07,0.377,0.2592,0.3627,0.938,0.9149
128,0,15,3,eom,2,23.53,0.3603,0.2577,0.353,0.938,0.9149
128,0,15,5,eom,2,24.6,0.3732,0.2646,0.3603,0.938,0.9149
128,0,15,10,eom,3,34.53,0.3695,0.2495,0.3407,0.938,0.9149
128,0,15,15,eom,2,26.07,0.377,0.2592,0.3627,0.938,0.9149
128,0,20,3,eom,2,23.53,0.3603,0.2577,0.353,0.938,0.9149
128,0,20,5,eom,2,24.6,0.3732,0.2646,0.3603,0.938,0.9149
128,0,20,10,eom,2,25.13,0.3733,0.2592,0.3609,0.938,0.9149
128,0,20,15,eom,2,26.07,0.377,0.2592,0.3627,0.938,0.9149
128,0,30,3,eom,2,23.53,0.3603,0.2577,0.353,0.938,0.9149
128,0,30,5,eom,2,24.6,0.3732,0.2646,0.3603,0.938,0.9149
128,0,30,10,eom,2,25.13,0.3733,0.2592,0.3609,0.938,0.9149
128,0,30,15,eom,2,26.07,0.377,0.2592,0.3627,0.938,0.9149
128,0,40,3,eom,2,23.53,0.3603,0.2577,0.353,0.938,0.9149
128,0,40,5,eom,2,24.6,0.3732,0.2646,0.3603,0.938,0.9149
128,0,40,10,eom,2,25.13,0.3733,0.2592,0.3609,0.938,0.9149
128,0,40,15,eom,2,26.07,0.377,0.2592,0.3627,0.938,0.9149
128,0,50,3,eom,2,23.53,0.3603,0.2577,0.353,0.938,0.9149
128,0,50,5,eom,2,24.6,0.3732,0.2646,0.3603,0.938,0.9149
128,0,50,10,eom,2,25.13,0.3733,0.2592,0.3609,0.938,0.9149
128,0,50,15,eom,2,26.07,0.377,0.2592,0.3627,0.938,0.9149
128,0,75,3,eom,2,23.53,0.3603,0.2577,0.353,0.938,0.9149
128,0,75,5,eom,2,24.6,0.3732,0.2646,0.3603,0.938,0.9149
128,0,75,10,eom,2,25.13,0.3733,0.2592,0.3609,0.938,0.9149
128,0,75,15,eom,2,26.07,0.377,0.2592,0.3627,0.938,0.9149
128,0,10,3,leaf,9,85.93,0.4767,0.2582,0.5957,0.938,0.9149
128,0,10,5,leaf,7,88.73,0.5896,0.2861,0.6955,0.938,0.9149
128,0,10,10,leaf,4,71.4,0.3181,0.2089,0.5116,0.938,0.9149
128,0,10,15,leaf,3,63.87,0.2409,0.2205,0.4372,0.938,0.9149
128,0,15,3,leaf,5,87.53,0.667,0.3135,0.7145,0.938,0.9149
128,0,15,5,leaf,2,24.6,0.3732,0.2646,0.3603,0.938,0.9149
128,0,15,10,leaf,4,71.4,0.3181,0.2089,0.5116,0.938,0.9149
128,0,15,15,leaf,3,63.87,0.2409,0.2205,0.4372,0.938,0.9149
128,0,20,3,leaf,3,60.0,0.3351,0.2254,0.5388,0.938,0.9149
128,0,20,5,leaf,2,24.6,0.3732,0.2646,0.3603,0.938,0.9149
128,0,20,10,leaf,3,62.0,0.2813,0.2237,0.4804,0.938,0.9149
128,0,20,15,leaf,2,26.07,0.377,0.2592,0.3627,0.938,0.9149
128,0,30,3,leaf,3,60.0,0.3351,0.2254,0.5388,0.938,0.9149
128,0,30,5,leaf,2,24.6,0.3732,0.2646,0.3603,0.938,0.9149
128,0,30,10,leaf,2,25.13,0.3733,0.2592,0.3609,0.938,0.9149
128,0,30,15,leaf,2,26.07,0.377,0.2592,0.3627,0.938,0.9149
128,0,40,3,leaf,2,23.53,0.3603,0.2577,0.353,0.938,0.9149
128,0,40,5,leaf,2,24.6,0.3732,0.2646,0.3603,0.938,0.9149
128,0,40,10,leaf,2,25.13,0.3733,0.2592,0.3609,0.938,0.9149
128,0,40,15,leaf,2,26.07,0.377,0.2592,0.3627,0.938,0.9149
128,0,50,3,leaf,2,23.53,0.3603,0.2577,0.353,0.938,0.9149
128,0,50,5,leaf,2,24.6,0.3732,0.2646,0.3603,0.938,0.9149
128,0,50,10,leaf,2,25.13,0.3733,0.2592,0.3609,0.938,0.9149
