P1_capture,P1_capture_count,P1_target_class_count,legacy_presence_rate,P2_noise_pct,P3_completeness,P4_homogeneity,ARI,AMI,Sil,k_total,k_classes,k_noise,fragment_ratio,recipe,epoch,threshold,embedding,label,embedding_mtime_ns,method,p1_nonregress,p2_nonregress,p3_nonregress,p4_nonregress,ari_nonregress,sil_nonregress,primary_gate,core_gate
0.9375,30,32,1.0,0.0,0.8476,0.8929,0.6979,0.8602,0.3289273679256439,53,32,10,1.65625,unkda_nv050_blend030,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend030_ep6.npy,NV 0.50 blend030,1783908374460173400,finch_p2,True,True,True,True,False,True,,False
0.9062,29,32,1.0,0.0,0.8885,0.923,0.8112,0.8993,0.4010486602783203,50,32,11,1.5625,unkda_nv050_blend030,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend030_ep6.npy,NV 0.50 blend030,1783908374460173400,louvain_res6,False,True,True,True,True,True,,False
0.8438,27,32,1.0,0.0,0.8784,0.8968,0.7089,0.8802,0.3452711999416351,50,32,11,1.5625,unkda_nv050_blend050,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend050_ep6.npy,NV 0.50 blend050,1783908374502140500,finch_p2,False,True,True,True,False,True,,False
0.9375,30,32,1.0,0.0,0.8888,0.9152,0.7968,0.8957,0.4185638725757599,49,32,11,1.53125,unkda_nv050_blend050,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend050_ep6.npy,NV 0.50 blend050,1783908374502140500,louvain_res6,False,True,True,True,True,True,,False
0.9375,30,32,1.0,0.0,0.8217,0.9052,0.6804,0.8498,0.3176442086696625,62,32,13,1.9375,unkda_nv050_blend070,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend070_ep6.npy,NV 0.50 blend070,1783908374559884000,finch_p2,True,True,False,True,False,True,,False
1.0,32,32,1.0,0.0,0.9056,0.9297,0.8234,0.9125,0.4239480495452881,48,32,12,1.5,unkda_nv050_blend070,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend070_ep6.npy,NV 0.50 blend070,1783908374559884000,louvain_res6,True,True,True,True,True,True,,True
0.9062,29,32,1.0,0.0,0.8387,0.9062,0.6723,0.8609,0.30598053336143494,62,32,15,1.9375,unkda_nv050_blend080,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend080_ep6.npy,NV 0.50 blend080,1783909274095754000,finch_p2,False,True,True,True,False,True,,False
0.9688,31,32,1.0,0.0,0.8855,0.9278,0.8132,0.9,0.4215258061885834,51,32,11,1.59375,unkda_nv050_blend080,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend080_ep6.npy,NV 0.50 blend080,1783909274095754000,louvain_res6,True,True,True,True,True,True,,True
0.9375,30,32,1.0,0.0,0.8426,0.9249,0.7218,0.8724,0.30640485882759094,61,32,13,1.90625,unkda_nv050_blend082,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend082_ep6.npy,NV 0.50 blend082,1783909274158003200,finch_p2,True,True,True,True,True,True,,True
0.9688,31,32,1.0,0.0,0.8898,0.9271,0.8156,0.9022,0.41320353746414185,50,32,12,1.5625,unkda_nv050_blend082,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend082_ep6.npy,NV 0.50 blend082,1783909274158003200,louvain_res6,True,True,True,True,True,True,,True
